Current Board,Optimal Move
001000022,001001022
001000102,001020102
001000120,001020120
001000122,001200122
001000200,021000200
001000201,001002201
001000202,001001202
001000210,201000210
001000212,021000212
001000220,001100220
001000221,001002221
001001002,001001202
001001020,001001022
001001022,201001022
001001122,001021122
001001200,001001202
001001202,201001202
001001212,201001212
001001220,201001220
001001221,201001221
001001222,101001222
001002000,201002000
001002001,001022001
001002002,001102002
001002010,001022010
001002012,021002012
001002020,001102020
001002021,201002021
001002100,001022100
001002102,021002102
001002112,001022112
001002120,201002120
001002121,001022121
001002122,101002122
001002200,001102200
001002201,021002201
001002210,021002210
001002211,001202211
001002212,001102212
001002221,001102221
001010002,001010202
001010020,001010220
001010022,201010022
001010122,201010122
001010200,201010200
001010202,201010202
001010212,021010212
001010220,201010220
001010221,201010221
001010222,101010222
001011022,001011222
001011202,001011222
001011220,001011222
001011222,201011222
001012000,001012200
001012002,021012002
001012012,201012012
001012020,021012020
001012021,201012021
001012022,101012022
001012102,201012102
001012120,201012120
001012122,201012122
001012200,021012200
001012201,201012201
001012202,001112202
001012210,021012210
001012212,021012212
001012220,001112220
001012221,021012221
001020000,001020200
001020001,001022001
001020002,001021002
001020010,001220010
001020012,021020012
001020020,001120020
001020021,201020021
001020100,021020100
001020102,021020102
001020112,201020112
001020120,201020120
001020121,021020121
001020122,001021122
001020200,001120200
001020201,201020201
001020210,021020210
001020211,001022211
001020212,001120212
001020221,101020221
001021000,001021002
001021002,021021002
001021012,201021012
001021020,201021020
001021021,021021021
001021022,001121022
001021102,201021102
001021120,021021120
001021122,001221122
001021200,201021200
001021201,201021201
001021202,001121202
001021210,001021212
001021212,021021212
001021220,101021220
001021221,201021221
001022000,001022100
001022001,201022001
001022010,201022010
001022011,001222011
001022012,001022112
001022021,001022121
001022100,201022100
001022101,001222101
001022102,001022112
001022110,001222110
001022112,021022112
001022120,001022121
001022121,201022121
001022201,001122201
001022210,001122210
001022211,201022211
001100002,001100202
001100020,001120020
001100022,201100022
001100122,201100122
001100200,001120200
001100202,201100202
001100212,021100212
001100220,201100220
001100221,001102221
001100222,101100222
001101022,001101222
001101202,001101222
001101220,001101222
001101222,201101222
001102000,201102000
001102002,021102002
001102012,201102012
001102020,201102020
001102021,201102021
001102022,101102022
001102102,201102102
001102120,201102120
001102122,201102122
001102200,201102200
001102201,201102201
001102202,001112202
001102210,201102210
001102212,021102212
001102220,001112220
001102221,201102221
001110022,001110222
001110202,001110222
001110220,001110222
001110222,201110222
001111222,201111222
001112002,001112202
001112020,001112220
001112022,201112022
001112122,201112122
001112200,201112200
001112202,201112202
001112212,021112212
001112220,201112220
001112221,201112221
001112222,101112222
001120000,201120000
001120002,021120002
001120012,201120012
001120020,201120020
001120021,021120021
001120022,001121022
001120102,201120102
001120120,021120120
001120122,001122122
001120200,001122200
001120201,001122201
001120202,001121202
001120210,201120210
001120212,021120212
001120220,101120220
001120221,201120221
001121002,201121002
001121020,021121020
001121022,201121022
001121122,201121122
001121200,001121202
001121202,021121202
001121212,201121212
001121220,201121220
001121221,021121221
001121222,101121222
001122000,001122200
001122001,201122001
001122002,001122012
001122010,201122010
001122012,021122012
001122020,001122021
001122021,201122021
001122100,201122100
001122102,021122102
001122112,201122112
001122120,201122120
001122121,021122121
001122122,011122122
001122200,001122210
001122201,201122201
001122210,021122210
001122211,201122211
001122212,101122212
001122221,101122221
001200000,021200000
001200001,001202001
001200002,001201002
001200010,001220010
001200012,021200012
001200020,101200020
001200021,201200021
001200100,001220100
001200102,021200102
001200112,001220112
001200120,201200120
001200121,201200121
001200122,101200122
001200200,001200210
001200201,021200201
001200210,021200210
001200211,201200211
001200212,001201212
001200221,101200221
001201000,001201002
001201002,021201002
001201012,201201012
001201020,201201020
001201021,201201021
001201022,101201022
001201102,001221102
001201120,201201120
001201122,201201122
001201200,021201200
001201201,201201201
001201202,001211202
001201210,201201210
001201212,021201212
001201220,101201220
001201221,021201221
001202000,001202010
001202001,201202001
001202010,201202010
001202011,001222011
001202012,101202012
001202021,101202021
001202100,201202100
001202101,001222101
001202102,101202102
001202110,001222110
001202112,201202112
001202120,101202120
001202121,201202121
001202201,001202211
001202210,001202211
001202211,021202211
001210000,001210200
001210002,021210002
001210012,201210012
001210020,021210020
001210021,201210021
001210022,101210022
001210102,201210102
001210120,201210120
001210122,201210122
001210200,021210200
001210201,201210201
001210202,001211202
001210210,201210210
001210212,021210212
001210220,101210220
001210221,021210221
001211002,001211202
001211020,201211020
001211022,201211022
001211122,201211122
001211200,201211200
001211202,021211202
001211212,201211212
001211220,021211220
001211221,201211221
001211222,101211222
001212000,021212000
001212001,201212001
001212002,101212002
001212010,201212010
001212012,021212012
001212020,101212020
001212021,021212021
001212100,201212100
001212102,201212102
001212112,201212112
001212120,201212120
001212121,201212121
001212122,101212122
001212200,101212200
001212201,021212201
001212210,021212210
001212211,201212211
001212212,101212212
001212221,011212221
001220000,001220100
001220001,201220001
001220010,201220010
001220011,001222011
001220012,001220112
001220021,101220021
001220100,201220100
001220101,001222101
001220102,001220112
001220110,001222110
001220112,021220112
001220120,101220120
001220121,201220121
001220201,101220201
001220210,101220210
001220211,021220211
001221000,201221000
001221001,201221001
001221002,001221102
001221010,001221012
001221012,021221012
001221020,101221020
001221021,201221021
001221100,001221102
001221102,021221102
001221112,201221112
001221120,201221120
001221121,021221121
001221122,101221122
001221200,101221200
001221201,021221201
001221210,021221210
001221211,201221211
001221212,101221212
001221221,101221221
001222001,101222001
001222010,101222010
001222011,201222011
001222100,101222100
001222101,201222101
001222110,201222110
001222111,201222111
001222112,101222112
001222121,101222121
001222211,101222211
002000000,012000000
002000001,002200001
002000010,002200010
002000011,002000211
002000012,002100012
002000021,012000021
002000100,002200100
002000101,002000121
002000102,002000112
002000110,002000112
002000112,202000112
002000120,012000120
002000121,002200121
002000201,012000201
002000210,102000210
002000211,202000211
002001000,002201000
002001001,202001001
002001002,102001002
002001010,202001010
002001012,002201012
002001020,012001020
002001021,002201021
002001100,202001100
002001102,002201102
002001112,202001112
002001120,002201120
002001121,022001121
002001122,012001122
002001200,102001200
002001201,202001201
002001210,202001210
002001211,002021211
002001212,102001212
002001221,012001221
002002001,012002001
002002010,002102010
002002011,202002011
002002100,012002100
002002101,002002121
002002110,202002110
002002111,202002111
002002112,102002112
002002121,012002121
002002211,002102211
002010000,002210000
002010001,202010001
002010002,102010002
002010010,022010010
002010012,202010012
002010020,012010020
002010021,002012021
002010100,202010100
002010102,202010102
002010112,002012112
002010120,002210120
002010121,202010121
002010122,012010122
002010200,102010200
002010201,002012201
002010210,202010210
002010211,202010211
002010212,102010212
002010221,012010221
002011000,002211000
002011002,002211002
002011012,202011012
002011020,002211020
002011021,202011021
002011022,102011022
002011102,002211102
002011120,002211120
002011122,002211122
002011200,202011200
002011201,202011201
002011202,102011202
002011210,202011210
002011212,202011212
002011220,102011220
002011221,202011221
002012000,002112000
002012001,002012021
002012010,202012010
002012011,202012011
002012012,102012012
002012021,012012021
002012100,202012100
002012101,202012101
002012102,102012102
002012110,002012112
002012112,202012112
002012120,012012120
002012121,002212121
002012201,012012201
002012210,102012210
002012211,202012211
002020001,012020001
002020010,012020010
002020011,202020011
002020100,012020100
002020101,202020101
002020110,202020110
002020111,202020111
002020112,012020112
002020121,012020121
002020211,102020211
002021000,002121000
002021001,202021001
002021010,202021010
002021011,002021211
002021012,012021012
002021021,102021021
002021100,002221100
002021101,002021121
002021102,012021102
002021110,002021112
002021112,022021112
002021120,012021120
002021121,202021121
